20:39:30 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:31 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:33 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:34 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:34 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:36 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:37 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:37 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:38 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:40 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:41 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:42 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:42 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:44 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:45 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:46 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:46 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:47 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:48 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:50 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:50 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:51 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:52 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:54 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:54 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:56 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:57 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:58 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:59 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:59 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:01 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:02 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:03 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:03 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:04 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:06 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:07 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:07 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:08 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:09 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:11 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:12 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:13 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:13 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:15 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:16 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:16 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:17 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:19 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:20 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:21 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:23 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:23 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:24 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:25 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:25 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:26 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:28 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:31 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:31 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:32 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:33 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:34 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:36 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:36 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:37 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:39 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:39 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:40 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:41 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:42 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:44 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:45 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:46 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:46 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:47 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:49 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:49 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:51 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:52 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:53 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:54 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:54 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:56 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:56 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:58 : temp:21, pwm:0/50, des_temp:21, auto:0
20:40:59 : temp:21, pwm:0/50, des_temp:21, auto:0
20:41:00 : temp:21, pwm:0/50, des_temp:21, auto:0
20:41:00 : temp:21, pwm:0/50, des_temp:21, auto:0
20:41:01 : temp:21, pwm:0/50, des_temp:21, auto:0
